Key Skills,Job Title,Job ID
 cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible,System Analyst,61
National| Branch| Vice President| J2Ee| Software,Software Developer,62
 Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment,Software Developer,63
 Performance Testing| Software Testing| Manual Testing| Quality Testing,Testing Engineer,64
 international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher,Associate/Senior Associate -(NonTechnical),65
 Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation,Design Engineer,67
 design| android| erp| software| mvc| quality,Software Developer,68
 Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support,Technical Writer,69
 Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals,Design Engineer,70
 Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision,Sales/Business Development Manager,71
 Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns,Accounts Executive/Accountant,72
 Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account,Sales/Business Development Manager,73
 XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax,Software Developer,74
 zld| Engineering Management| knitting,Engineering Manager,75
 Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing,Accounts Executive/Accountant,76
 ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,Training Manager,77
 Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP,Software Developer,78
 C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax,Software Developer,79
 CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery,Software Developer,80
 Business Development Management| Bd| Marketing| business development| Projects| business development manager| bdm| Tendering| Proposal,Sales/Business Development Manager,81
 Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys,Testing Engineer,82
 Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive,Graphic Designer,83
 Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost,Sales Executive/Officer,84
 Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior,Client Servicing Executive,85
 jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming,Software Developer,87
technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing,Recruitment Executive,88
 Project Administration| Coordination,Sales Coordinator,89
 analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,Software Developer,91
 NCTVT,Workman/Foreman/Technician,92
 Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services,Software Developer,93
 Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation,Sales Executive/Officer,94
AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks,Design Engineer/Manager,95
 Automation Engineer,Technical Lead/Project Lead,96
 Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM,Team Leader -(NonTechnical),97
 Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,Analytics Manager,99
 accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation,Accounts Executive/Accountant,100
 Informatica Power Center| Informatica,Software Developer,101
 Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who,Engineering Manager,103
 Forecasting,Financial Analyst,104
 marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive,Medical Representative,106
 Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle,Project Manager-Production/Manufacturing/Maintenance,107
 counselling| couselling| fresher| student counsellor| student counseling,Fresher,109
 asp dot net| .net developer| Dot Net Developer| asp.net| asp . net,Software Developer,110
 Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling,Other,111
 X - Ray| Medical Transcription| Ultrasound| CT Scan,Documentation/Medical Writing,112
 cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml,Software Developer,113
 Sales| Management| Sales management| Educational sales,Sales/Business Development Manager,114
 Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp,Associate/Senior Associate -(NonTechnical),115
 Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software,Associate/Senior Associate -(NonTechnical),116
C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration,IT/Networking-Manager,117
 Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales,Sales Executive/Officer,118
 Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI,Sales Trainer,119
 Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP,Associate/Senior Associate -(Technical),120
 planning| training| training manager| trainer| faculty,Trainer,121
 Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail,Sales/Business Development Manager,122
 customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic,Technical Support Engineer,123
 Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications,Software Developer,124
 Senior Design Engineer| Engineering Design| SACS,Senior Design Engineer,125
 C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Head/VP/GM-Technology(IT)/CTO,126
 Technical Support Executive| Electrical engineering,Associate/Senior Associate -(Technical),127
 Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction,Business Analyst,128
Detail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching,Software Developer,129
 assistant restaurant manager| restaurant| restaurant manager,Restaurant Manager,130
 layout| visualization| digital media| graphic design| html| illustration| tools| part time,Graphic Designer,131
 selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining,Head/VP/GM/National Manager -Sales,132
photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static,Web Designer,133
Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS,Graphic/Web Designer,134
server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3,Graphic/Web Designer,135
 Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President,Head/VP/GM-Operations,136
 Sales Head| Tied Channel| Sales| Business Growth| Profitability| Business Operations| New Business| Alliances,Head/VP/GM/National Manager -Sales,137
 Project Management,Head/VP/GM-Operations,138
 QA| Life Sciences| development quality assurance| Life Cycle| Regulatory Affairs| DQA| QMS| Dmf,Research Scientist,139
 accounting| finance| financial reporting| statutory compliance| gst| vat,Accounts Manager,140
 Data analysis| Consumer research| Management| Head Business Development,Sales/Business Development Manager,141
 Testing| Quality| Manual Testing| ETL| BI| DW| Datawarehouse Testing,Testing Engineer,142
 Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas,Sales Executive/Officer,144
 ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming,Software Developer,145
 customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| Telemarketing| Outbound| sales| hardware| networking,Associate/Senior Associate -(NonTechnical),146
Oracle|Core Java|Business process|Outsourcing|Operations|spring integration|J2Ee|Spring framework|JEE|Manager Technology,Software Developer,147
 MS Office| Data entry,Associate/Senior Associate -(NonTechnical),148
 Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing,Sales/Business Development Manager,149
Unix| Version control| Prototype| XML| MySQL| PHP| JSON| MVC| Ajax| CSS3,Software Developer,150
 Merchandising| Buyer Activities| Follow Ups| Vendor| purchase| vendor development| tracking,Merchandiser,151
 C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration,Team Lead/Technical Lead,152
 Customer Support Executive| Customer service| Business Executive| process,Associate/Senior Associate -(NonTechnical),154
 process| Spot| Technical support| Night shift| International BPO,Associate/Senior Associate -(Technical),156
java| cisco call manager| visa| j2ee| sip| offshore| communication skills,Team Lead/Technical Lead,158
 International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction,Technical Support Engineer,160
 Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics,Testing Engineer,161
 Technical Architecture| Fusion| Oracle Fusion,Team Lead/Technical Lead,162
 Layout design| Corel Draw| Web designing| Photoshop,Graphic/Web Designer,163
 Bpo Voice| Voice Process| International BPO,Associate/Senior Associate -(NonTechnical),164
HTML5| ASP,Software Developer,165
 Product training| Sales| Relationship| Banking| Recruitment,Sales/Business Development Manager,166
 Stores| warehouse| Logistics,Logistics Manager,168
 BPO| Outbound| English| Email| Inbound calls| Customer service| Troubleshooting| Technical support| Recruitment| Comp,Associate/Senior Associate -(NonTechnical),169
 Linux| Agile| Python| Computer science| Coding| Fixed income| Machine learning| Asset management| JIRA| Financial services,Software Developer,170
 Credit Officers| Risk Management| Administration| Report Generation| Analysts| analytical skills,Head/VP/GM-Finance/Audit,172
 Balance Sheet Finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit,Accounts Manager,173
 accounts payable| accounting| AP,Associate/Senior Associate -(NonTechnical),174
 Change management| Healthcare| Analyst| Business Analyst| Social media| Problem management| Software development life cycle| Scheduling| OEE,Software Developer,175
 CSS| jQuery| MySQL| Javascript| HTML| Web Development| Laravel| Codeigniter,Software Developer,177
 Networking| Telecom| LAN| WAN| Bss| VPN| Wireless| Telecommunication| Costing| Visio,Project Manager-IT/Software,178
 Business communication| Analytical skills| Business objects| Team management| management| Transition management| Trend analysis| Variance analysis| Analytics,Financial Analyst,179
 Usage| PDF| C| Social media| Cash handling| Database| Customer service| Merchandising| Advertising,Head/VP/GM/National Manager -Sales,180
 salesforce| salesforce.com| system design| application architecture,Technical Architect,181
Execution|Project Management|AO engagement|Monitoring Tools|Delivery Management|Stakeholder Management|System Monitoring,Project Manager-IT/Software,182
 Recruitment| Hiring| HR| Screening| Interviewing| Staffing,Fresher,183
 bca| cold calling| bidding| academic| customer service| documentation| selling| web development| seo| mba,Sales/Business Development Manager,184
 Java| Webservices| Spring| Hibernate| System Design| ESB| SQL| Spring Boot| Javascript,Software Developer,185
 Debugging| Troubleshooting| Python| Interpersonal skills| OOPS| Programming| developer,Software Developer,186
 Direct sales| Cold calling| English| Networking| Business Development Manager| Customer interfacing| Data collection| Service| Digital marketing| WHO,Sales/Business Development Manager,187
 build automation| Entity framework| MVC| microsoft| SQL,Software Developer,188
 Technical support| Outbound| Troubleshooting| RecruitmentEnglish| Antivirus| Comp| Customer Service Executive| Domestic BPO,Associate/Senior Associate -(NonTechnical),189
 Outbound| Medical| Technical support| Technical Support Associate| Email| Sales| US shift| Antivirus| Troubleshooting| Comp,Associate/Senior Associate -(Technical),190
 HR| Human Resource Management| Placement Coordination| recruitment executive| recruitment officer,Outside Consultant,191
 Strategic Sourcing| procurement| supply chain management| Packaging| Vendor Management,Purchase Executive,192
 Outbound| Technical Support Associate| Sales process| process| Senior| Technical| US shift| Technical support| International BPO,Associate/Senior Associate -(Technical),193
 Corporate Training| corporate trainer| technical trainer,Trainer,194
 java| mongodb| Hibernate| spring| jms,Software Developer,195
 Procurement| Supply chain management| Automation| Copyright| Chain| Purchase| Head Operations| Steel| Business Executive,Purchase/Vendor Development Manager,196
software development life cycle| css| html5| ui development| design patterns| svn| software engineering| angularjs| javascript,Software Developer,197
 good communication skill| good speeking manners| ability to face strangers| punctual| gopod efficiency,Telecalling/Telemarketing Executive,198
 Cash Handling| Cashier Activities| Day Book| Cashier| Restaurant| CSAT,Cashier,199
 C#| .Net| Asp.net,Fresher,200
 Excel| Sales| Conflict resolution| Analytical| Management Trainee| Power point presentation| MS Office,Trainee,201
 Manual testing| Eclipse| Coding| Scrum| Enterprise applications| Healthcare| JIRA| Android SDK| test driven development| Business Analyst,Testing Engineer,202
 Production Management| production control| production planning| Production Manager| Planning| Production Support| Organizing,Production Manager,203
 Digital media| PHP| Recruitment| Bengali| LMS| Business administration| Content Editor| Journalism| Literature| Administration,Content Developer,204
 Graphics| Simulation| Power management| Electronics| Hardware| Research| System analysis| Electricals,Software Developer,205
 Motion Graphics| Infographics| Illustrator| animations| infographics| Corel draw| Photoshop| CorelDRAW| Visual Designer,Visualiser,206
 Illustrator| Web designing| Photoshop| CSS| Web technologies| XML| Intranet| Business Executive,Graphic/Web Designer,207
 Tally| Retail| Accounts Executive| Retail Executive,Accounts Executive/Accountant,208
 Financial reporting| Due diligence| Data analysis| Accounting| International finance| Banking,Accounts Manager,209
MySQL| Javascript| UML| server| css| Technical writing| html5| bootstrap| microsoft| Technical support| sql| cloud| ui| web| design| asp.net| mvc| api| architecture| level| Visual Studio| quality| MS SQL| infrastructure| .net| agile| angularjs| aws,Software Developer,210
sales strategy| sales management| B2B Sales| corporate sales| institutional sales,Sales/Business Development Manager,211
soa| sql| relationship management| server| software| jquery| service oriented architectures| quality systems| software implementation| computer science| sql server 2008| design,Software Developer,212
 Art Director,Creative Director,213
 Outbound| Telesales| Night shift| English| process| Technical| Inbound calls| Service| Printers| Business Executive,Associate/Senior Associate -(NonTechnical),214
 Outbound| Service| Technical support| process| Inbound calls| Domestic BPO| Bonus| Business Executive| Comp,Associate/Senior Associate -(Technical),215
 layout| coordinating| material selection| ms| mep| photoshop| corel draw| co| monitoring| plumbing,Architect,217
coding|database design|test cases|analytical|nosql|cassandra,Software Developer,218
 Sales| Fresher| Marketing,Sales/Business Development Manager,220
 Java EE| Hibernate| Core Java| Software Development| Spring Mvc| Multithreading| OOD| JDBC| Spring Boot| JSF,Software Developer,221
 Virtualization| Cloud computing| Server architecture| Windows Troubleshooting| Customer satisfaction| Manager Technology| Deployment| Management,Technical Architect,222
 Sales| Sale| Networking Sales| It Solution Sales| Structured Cabling| Passive Networking| Data Center| Cable Tray| cabling| Data Center Rack| data - centre rack| LAN| UTP Cables,Sales/Business Development Manager,223
 fundraising| finance,Finance/Budgeting Manager,224
 worldspan| travel sales consultants| galileo| amadeus| gds,Associate/Senior Associate -(NonTechnical),225
 Front end| Email| PDF| MIN| UI| phone| Strategic HR| Doc| Consultancy| Recruitment,Software Developer,226
 CVS| ERP| Rest| middle east| Technical| Customization| E-commerce| CRM| Open| WHO,Outside Technical Consultant,227
Java|Angular JS|Hibernate|Core Java|Technical Leader|Technical|Javascript|Spring|JQuery|JS framework,Software Developer,228
 senior management| ngo| key skills| Corporate Social Responsibility| Govt Liasioning| corporate pr| External Communications,CSR Manager,229
 Asp.Net MVC| entity framework| API,Software Developer,230
 Loans| Direct Sales Associate| Policies| Bfsi| Finance| Sanction| WHO,Sales Officer,231
 Monitoring| Senior Resident| RAM| DNB| Dmc,Surgeon,232
 Angularjs| CSS| Responsive Web Design| Javascript| Bootstrap| HTML| JSON| JQuery| Web Development| Grunt,Software Developer,233
 python| open source| database| Automation| java| linux| perl| Monitoring| nosql,Software Developer,234
 QA| Functional testing,Testing Engineer,235
Design Development|Software Engineering|Lighting|Computer Science|Product Quality|Automation Testing|Asset Management|GUI|Object Oriented Programming|Android,Software Developer,236
 NAV calculation| Fund accounting| Automation| Corporate actions| Accounting| Process improvement| Analytical| Reconciliation| Standard operating procedures| Subject Matter Expert,Accounts Executive/Accountant,237
 Networking| Secondary research| Recruitment| Analyst| Network security| Research| IPS| Advisory| Firewall,Business Analyst,238
 hiring| HRIS| procurement| HR| sourcing| Recruitment| staffing,Recruitment Executive,239
 Computer science| Continuous improvement,Software Developer,240
 pharmaceutical| medical| Pharma| medical billing| healthcare,Medical Representative,241
 CSS| Wordpress| MySQL| Javascript| PHP| HTML| JQuery| SEO| Ajax| Hosting,Software Developer,242
 javascript| html| ajax| jquery| php mysql| smarty| api| analytical| third party| software development life cycle,Software Developer,244
Renewable energy|Power distribution|Power sector|Banking|Electricals,Associate/Senior Associate -(NonTechnical),245
 spanish language expert| chinese| spanish| medical,Proof Reader,246
 Sales Associate| support| Voice process| Issue| Senior| Technical| Inbound calls| Bonus| US shift| Software,Associate/Senior Associate -(NonTechnical),247
 MCSE| Database| Support Engineer,Associate/Senior Associate -(Technical),248
 SSRS| SQL Server| Stored Procedures| SQL Development| MS SQL,Software Developer,249
 GNM| Business Executive,Nurse,250
 institutions| relationships| marketing executive| customer| customers| implementation| company| site| product,Direct Marketing Executive,251
Recruitment|Volume Hiring|HR|BPO Hiring|Sourcing|Interviewing|Onboarding|Staffing|Orientation|Human Resource Management,HR Executive,252
 Java| CSS| Rest| Spring Mvc| Javascript| HTML| JPA| Spring Boot| JQuery| Web Services,Software Developer,253
 financial analysis| financial planning| taxation| VP Finance,Head/VP/GM-Finance/Audit,254
 Publishing| SEO| Content management| Social media| Wordpress| Management systems| Research| Brand awareness| Web technologies| Journalism,Content Developer,255
 Auditing| Audit Planning| Risk Assessment| Banking| Credit Risk| Credit Policy,Head/VP/GM-CFO/Financial Controller,256
 c++| development| gaming| C| software| HTML| ios| opengl| iphone| design| MySQL| JavaScript,Software Developer,257
 business development| e - commerce| sales executive| sales associate| sales officer| sales| field sales| mba fresher| fresher| new product development| channel sales,Sales Executive/Officer,258
 rest| java| sql| oop| angularjs| ui development| oracle,Software Developer,259
 Javascript| PHP| HTML| Visualization| jQuery| web| Programming| Commerce| Web designing| Application| Android,Software Developer,260
 Process automation| Commodity Markets| Artificial Intelligence| Market intelligence| Machine learning| Corporate| Relationship| Operations| Analytics| Robotics,Team Lead/Technical Lead,261
 IT Sales| Marketing Campaigns| Social Media| Btl| Marketing Management| Digital Marketing| Dealer Sales| Channel Partners| Communication Skills| Process Flow,Sales/Business Development Manager,262
 Android| Troubleshooting| Middleware| Firmware| SOC| Linux kernel| Bluetooth| Computer science| Test scripts| Test strategy,Software Developer,263
 Outbound| Antivirus| Technical support| Voice process| Technical Support Executive| US shift| Inbound voice process| Customer Service Executive| Comp| International BPO,Associate/Senior Associate -(NonTechnical),264
 Sales Executive| Cold calling| market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy,Sales Executive/Officer,265
 Administration| HR| Recruitment| Recruitment Executive| IR,Recruitment Executive,266
 Web development| Analytics| Healthcare| Software design| Monitoring| JIRA| Computer science| Backend| Inside sales| Cloud,Technical Architect,267
 Team Management| Advisory Services| General Insurance| Sales Initiatives| Financial Products| Distributor Sales| Branch Sales| Sales Development| Motor Insurance| Marketing,Branch Manager,268
 clinical pharmacy| mr| sales officer| territory executive| business development| sales executive,Sales Executive/Officer,269
 sap| procurement| scm| material| sheetmetal| sheet metal| purchase| VD| vendor development| sourcing| BOP,Purchase/Vendor Development Manager,270
 Angularjs| CSS| Core Java| DOM| Computer Science| Javascript| HTML| Spring| Ajax,Software Developer,271
 data analysis| Admissions| placements| Help Desk| access controls| Asset Management,Other,272
 marketing| bdm| sales| business development| it sales| ncr| hardware sales,Sales/Business Development Manager,273
 Outbound| Night shift| Service| English| process| Technical| Technical support| Inbound calls| Voice process| Group,Associate/Senior Associate -(Technical),274
 RT| PT| MPI| NDT Inspection| NDT Level| Diploma| Quality Inspection| Level Ii| Inspection Engineering| Mechanical Engineering| UT,Service/Maintenance Engineer,275
 Customer service| Healthcare| Customer relationship| Windows| Graphic designing| CAD| Illustrator| Customer satisfaction| Application software,Associate/Senior Associate -(NonTechnical),276
 BPO| any graduate| Voice Process| Voice Support,Associate/Senior Associate -(NonTechnical),277
 Outbound| Antivirus| Comp| Technical support| Technical Support Associate| technical sales associate| Sales| Technical Associate| Voice support| Inbound calls,Associate/Senior Associate -(Technical),278
 Equipment Maintenance| Hydraulics| Inventory Management| Management Skills| Maintenance Head| Electricals,Head/VP/GM-Production/Manufacturing/Maintenance,279
 hive| apache| itil process| hadoop| big data| aws| core java,Software Developer,280
 motor insurance| insurance sales| insurance broking| general insurance,Sales/Business Development Manager,281
SQL|Hibernate|Multithreading|OOAD|Eclipse|Business process|Outsourcing|Version control|Memory management|Control system,Team Lead/Technical Lead,282
 CATIA| AutoCAD| Pressure vessels| Mechanical| Primavera| PSCAD,Senior Design Engineer,283
 Team Management| Project Execution| Program Management| Customer Experience| Data Analytics| Supply Chain| Operations Planning,Purchase/Vendor Development Manager,284
 business development management| Sales Management,Sales/Business Development Manager,285
 Technical support| Outbound| Comp| Technical| Domestic BPO| US shift| process| Inbound calls| Bonus,Associate/Senior Associate -(Technical),286
 financial s| windows| android| mobile development,Software Developer,288
 Hardware Board Design| Mixed Signal| Design Engineering,Software Developer,289
 environment| functional| operations| business| verbal communication| coaching| analytical skills,Head/VP/GM-Operations,290
 Screening| Linkedin| IT Recruitment| hr recruitment| Database| recruiter| Sourcing| Interviewing| Recruitment,Recruitment Executive,291
 java| linux| server| development| eclipse ide| c| technical| mobile| eclipse| objective c| usability| ui| design| debugging| backend| developer| programming| applications,Software Developer,292
 Retail Sales| Sales Executive Activities| Revenue Generation| Inhouse Sales,Counter Sales,293
